business_variant,case,completed_action_questions,duty_accuracy,duty_accuracy_reason,estimated_routes,execution_id,fault,fixture_id,new_model_calls,new_tokens,observation_bytes,observation_changed_by_fault,proven_notice_then_use,rejected_evidence,source_identity,topology,undetermined,verified_routes,view,workflow_id
business-0,active,16,,no_independent_historical_duty_labels,"{'matched': 22, 'expected': 22, 'predicted': 22, 'false_positive': 0, 'recall': 1.0, 'precision': 1.0}",bea882a5325042f5501d9ff63bec2c4fe9819e6c6e89cd3fb26a9c009fe31675,none,final-v1:long_chain_fork:active:business-0,0,0,737289,False,0,0,"{'matched': 4, 'expected': 4, 'predicted': 4, 'false_positive': 0, 'recall': 1.0, 'precision': 1.0}",long_chain_fork,16,"{'matched': 22, 'expected': 22, 'predicted': 22, 'false_positive': 0, 'recall': 1.0, 'precision': 1.0}",full,w0004
business-0,active,16,,no_independent_historical_duty_labels,"{'matched': 22, 'expected': 22, 'predicted': 22, 'false_positive': 0, 'recall': 1.0, 'precision': 1.0}",bea882a5325042f5501d9ff63bec2c4fe9819e6c6e89cd3fb26a9c009fe31675,none,final-v1:long_chain_fork:active:business-0,0,0,4968,False,0,0,"{'matched': 0, 'expected': 4, 'predicted': 0, 'false_positive': 0, 'recall': 0.0, 'precision': None}",long_chain_fork,16,"{'matched': 0, 'expected': 22, 'predicted': 0, 'false_positive': 0, 'recall': 0.0, 'precision': None}",ordinary_logs,w0004
business-0,active,16,,no_independent_historical_duty_labels,"{'matched': 22, 'expected': 22, 'predicted': 22, 'false_positive': 0, 'recall': 1.0, 'precision': 1.0}",bea882a5325042f5501d9ff63bec2c4fe9819e6c6e89cd3fb26a9c009fe31675,none,final-v1:long_chain_fork:active:business-0,0,0,695873,False,0,0,"{'matched': 4, 'expected': 4, 'predicted': 4, 'false_positive': 0, 'recall': 1.0, 'precision': 1.0}",long_chain_fork,16,"{'matched': 0, 'expected': 22, 'predicted': 0, 'false_positive': 0, 'recall': 0.0, 'precision': None}",no_receipts,w0004
business-0,active,16,,no_independent_historical_duty_labels,"{'matched': 0, 'expected': 22, 'predicted': 0, 'false_positive': 0, 'recall': 0.0, 'precision': None}",bea882a5325042f5501d9ff63bec2c4fe9819e6c6e89cd3fb26a9c009fe31675,none,final-v1:long_chain_fork:active:business-0,0,0,1874,False,0,0,"{'matched': 0, 'expected': 4, 'predicted': 0, 'false_positive': 0, 'recall': 0.0, 'precision': None}",long_chain_fork,16,"{'matched': 0, 'expected': 22, 'predicted': 0, 'false_positive': 0, 'recall': 0.0, 'precision': None}",opaque_relay,w0004
business-0,active,16,,no_independent_historical_duty_labels,"{'matched': 22, 'expected': 22, 'predicted': 22, 'false_positive': 0, 'recall': 1.0, 'precision': 1.0}",bea882a5325042f5501d9ff63bec2c4fe9819e6c6e89cd3fb26a9c009fe31675,missing_link,final-v1:long_chain_fork:active:business-0,0,0,727051,True,0,0,"{'matched': 4, 'expected': 4, 'predicted': 4, 'false_positive': 0, 'recall': 1.0, 'precision': 1.0}",long_chain_fork,16,"{'matched': 22, 'expected': 22, 'predicted': 22, 'false_positive': 0, 'recall': 1.0, 'precision': 1.0}",full,w0004
business-0,active,16,,no_independent_historical_duty_labels,"{'matched': 22, 'expected': 22, 'predicted': 22, 'false_positive': 0, 'recall': 1.0, 'precision': 1.0}",bea882a5325042f5501d9ff63bec2c4fe9819e6c6e89cd3fb26a9c009fe31675,tampered_receipt,final-v1:long_chain_fork:active:business-0,0,0,736650,True,0,1,"{'matched': 4, 'expected': 4, 'predicted': 4, 'false_positive': 0, 'recall': 1.0, 'precision': 1.0}",long_chain_fork,16,"{'matched': 21, 'expected': 22, 'predicted': 21, 'false_positive': 0, 'recall': 0.9545454545454546, 'precision': 1.0}",full,w0004
business-1,active,16,,no_independent_historical_duty_labels,"{'matched': 22, 'expected': 22, 'predicted': 22, 'false_positive': 0, 'recall': 1.0, 'precision': 1.0}",505325ef53740e6c4d8372e3c98e1a11adcbce9718ad2c28b320afb99727a26d,none,final-v1:long_chain_fork:active:business-1,0,0,737307,False,0,0,"{'matched': 4, 'expected': 4, 'predicted': 4, 'false_positive': 0, 'recall': 1.0, 'precision': 1.0}",long_chain_fork,16,"{'matched': 22, 'expected': 22, 'predicted': 22, 'false_positive': 0, 'recall': 1.0, 'precision': 1.0}",full,w0014
business-1,active,16,,no_independent_historical_duty_labels,"{'matched': 22, 'expected': 22, 'predicted': 22, 'false_positive': 0, 'recall': 1.0, 'precision': 1.0}",505325ef53740e6c4d8372e3c98e1a11adcbce9718ad2c28b320afb99727a26d,none,final-v1:long_chain_fork:active:business-1,0,0,4968,False,0,0,"{'matched': 0, 'expected': 4, 'predicted': 0, 'false_positive': 0, 'recall': 0.0, 'precision': None}",long_chain_fork,16,"{'matched': 0, 'expected': 22, 'predicted': 0, 'false_positive': 0, 'recall': 0.0, 'precision': None}",ordinary_logs,w0014
business-1,active,16,,no_independent_historical_duty_labels,"{'matched': 22, 'expected': 22, 'predicted': 22, 'false_positive': 0, 'recall': 1.0, 'precision': 1.0}",505325ef53740e6c4d8372e3c98e1a11adcbce9718ad2c28b320afb99727a26d,none,final-v1:long_chain_fork:active:business-1,0,0,695891,False,0,0,"{'matched': 4, 'expected': 4, 'predicted': 4, 'false_positive': 0, 'recall': 1.0, 'precision': 1.0}",long_chain_fork,16,"{'matched': 0, 'expected': 22, 'predicted': 0, 'false_positive': 0, 'recall': 0.0, 'precision': None}",no_receipts,w0014
business-1,active,16,,no_independent_historical_duty_labels,"{'matched': 0, 'expected': 22, 'predicted': 0, 'false_positive': 0, 'recall': 0.0, 'precision': None}",505325ef53740e6c4d8372e3c98e1a11adcbce9718ad2c28b320afb99727a26d,none,final-v1:long_chain_fork:active:business-1,0,0,1874,False,0,0,"{'matched': 0, 'expected': 4, 'predicted': 0, 'false_positive': 0, 'recall': 0.0, 'precision': None}",long_chain_fork,16,"{'matched': 0, 'expected': 22, 'predicted': 0, 'false_positive': 0, 'recall': 0.0, 'precision': None}",opaque_relay,w0014
